Id,Prof/Choice,SW/Mobile,SW/Desktop,SW/Web,Tech/iOS,Tech/OSX,Tech/FrontendJS,Tech/NodeJS,Tech/HTML,Nonative/Dev,Nonative/Opinion,Xplat/Dev,Xplat/Opinion,Lang/Pref,Exp/JS,Exp/Node,Exp/iOS,App/Never,App/ObjC,App/Titanium,App/Cordova,App/Frontend,App/Best
258,Backend Engineer,1,0,1,0,0,1,1,1,1,2,1,2,Javascript,4,4,2,0,0,0,1,0,PhoneGap / Apache Cordova
259,Frontend Engineer,1,0,1,0,0,1,1,1,1,1,1,1,Javascript,4,5,3,0,0,0,1,0,PhoneGap / Apache Cordova
261,Frontend Engineer,1,0,1,0,1,1,1,1,1,1,1,1,Javascript,5,4,2,0,1,0,1,0,
262,Backend Engineer,0,0,1,1,0,1,0,1,0,0,0,1,Objective-C,3,2,4,0,1,0,0,0,Objective-C Foundation
264,Backend Engineer,1,0,1,0,0,1,1,1,1,1,1,1,Javascript,4,4,2,0,1,0,1,0,Objective-C Foundation
265,,1,0,1,1,0,1,1,1,0,0,0,1,Javascript,4,4,3,0,1,0,0,0,
266,iOS Developer,1,0,1,1,1,1,1,1,1,1,1,1,Javascript,2,2,3,0,1,0,1,0,Objective-C Foundation
267,,1,0,1,1,0,1,1,0,0,1,1,0,Javascript,4,5,5,0,1,0,0,0,Objective-C Foundation
268,iOS Developer,1,0,1,1,0,1,1,1,1,0,1,1,Javascript,4,3,3,0,0,1,1,1,Appcelerator Titanium
269,Frontend Engineer,0,0,1,0,0,1,1,1,1,2,0,2,Javascript,5,5,,0,0,0,1,1,PhoneGap / Apache Cordova
270,Backend Engineer,0,0,1,1,0,1,1,1,1,1,0,1,Javascript,5,5,3,0,1,0,1,1,PhoneGap / Apache Cordova
271,,0,0,1,0,0,1,1,1,1,2,1,2,Javascript,5,4,5,0,0,0,1,0,PhoneGap / Apache Cordova
272,Backend Engineer,0,0,1,0,0,1,1,1,1,2,1,2,Javascript,5,5,3,0,1,0,1,0,PhoneGap / Apache Cordova
273,Backend Engineer,0,0,1,0,0,0,1,0,0,2,0,2,Javascript,4,4,,1,0,0,0,0,
274,iOS Developer,1,0,0,0,0,0,1,0,1,2,1,1,Javascript,4,4,2,1,0,0,0,0,
275,Frontend Engineer,1,0,1,0,0,1,1,1,1,0,1,0,Javascript,1,2,2,0,0,0,1,1,Sencha Touch / jQuery Mobile
276,,1,1,1,0,0,1,1,1,0,1,1,1,Javascript,4,4,,0,0,0,1,0,PhoneGap / Apache Cordova
277,Backend Engineer,0,0,1,0,1,1,1,1,0,2,0,2,Javascript,5,3,3,0,1,0,0,0,Objective-C Foundation
278,iOS Developer,0,0,1,0,0,1,0,0,0,0,0,1,Javascript,3,2,2,0,0,0,0,0,Objective-C Foundation
279,Frontend Engineer,1,0,1,1,0,1,1,1,1,1,0,1,Javascript,5,5,5,0,1,0,1,0,Objective-C Foundation
280,Backend Engineer,1,0,1,0,0,1,1,1,1,2,1,2,Javascript,5,5,4,0,0,0,1,0,PhoneGap / Apache Cordova
282,iOS Developer,0,1,0,1,1,1,1,1,0,2,0,2,Javascript,4,4,3,0,1,0,0,0,
283,iOS Developer,1,0,0,1,0,0,1,0,1,0,1,0,Objective-C,3,3,4,0,1,0,1,0,Objective-C Foundation
285,Backend Engineer,0,0,1,0,0,1,1,1,1,1,1,1,Javascript,5,5,1,0,0,0,1,0,PhoneGap / Apache Cordova
286,Backend Engineer,1,0,1,0,0,1,1,1,1,1,1,1,Javascript,4,3,1,0,0,0,1,0,PhoneGap / Apache Cordova
287,Frontend Engineer,0,0,0,1,1,1,1,1,0,2,1,2,Javascript,4,4,3,0,1,0,0,0,Objective-C Foundation
288,Frontend Engineer,0,0,1,0,0,1,1,1,1,0,0,1,Javascript,4,5,2,0,0,0,1,1,
289,Backend Engineer,0,0,0,0,0,0,0,0,0,0,0,1,Javascript,2,2,3,1,0,0,0,0,
291,Frontend Engineer,1,0,1,0,0,1,1,1,1,1,0,2,Javascript,4,5,3,0,0,0,1,0,PhoneGap / Apache Cordova
292,,1,1,1,0,0,1,1,1,0,2,1,1,Javascript,4,5,3,0,0,0,1,0,
293,,1,0,1,1,1,1,1,1,1,1,0,2,Javascript,4,4,3,0,1,0,1,0,Objective-C Foundation
295,,0,0,1,1,1,1,1,1,0,1,0,1,Javascript,3,3,2,0,1,0,0,0,Objective-C Foundation
296,Frontend Engineer,0,0,1,0,0,1,0,1,1,1,1,1,Javascript,4,3,1,1,0,0,0,0,
298,Backend Engineer,0,0,1,0,0,1,1,1,1,0,1,0,Javascript,4,3,1,0,1,1,1,1,PhoneGap / Apache Cordova
299,iOS Developer,1,0,1,1,0,1,1,1,1,0,1,0,Objective-C,4,4,5,0,1,0,1,1,Objective-C Foundation
300,Frontend Engineer,0,0,1,0,0,1,1,1,1,2,1,2,Javascript,4,4,2,0,0,0,1,0,PhoneGap / Apache Cordova
301,Frontend Engineer,1,0,1,0,0,1,0,1,1,0,0,2,Javascript,5,5,2,0,1,0,1,0,Objective-C Foundation
303,,0,1,0,0,0,1,0,1,0,2,1,1,Javascript,2,1,1,1,0,0,0,0,
304,,0,0,1,0,0,1,1,1,0,2,1,2,Javascript,5,5,2,0,0,0,1,1,PhoneGap / Apache Cordova
305,Backend Engineer,0,0,1,0,0,0,1,0,1,1,1,1,Javascript,4,3,1,0,0,0,1,0,PhoneGap / Apache Cordova
306,Backend Engineer,1,0,1,0,0,1,1,1,1,2,1,,Javascript,4,4,1,1,0,0,0,0,PhoneGap / Apache Cordova
307,Frontend Engineer,1,1,1,0,0,1,1,1,1,1,1,1,Javascript,4,4,2,0,0,1,1,1,
310,iOS Developer,1,0,0,1,0,1,0,1,0,2,1,2,Javascript,4,2,3,1,1,1,0,1,Objective-C Foundation
311,Backend Engineer,1,1,1,0,0,1,1,1,1,2,1,2,Javascript,4,4,2,0,0,0,0,1,Sencha Touch / jQuery Mobile
313,Frontend Engineer,1,1,1,0,0,1,1,1,1,1,1,0,Javascript,4,4,3,0,0,1,1,1,
316,iOS Developer,1,0,1,1,0,1,0,1,1,1,0,2,Objective-C,3,4,5,0,1,0,0,0,Objective-C Foundation
317,Frontend Engineer,0,1,1,0,0,1,1,1,0,2,0,2,Javascript,3,2,1,1,0,0,0,0,Objective-C Foundation
319,Frontend Engineer,1,0,0,0,0,1,1,1,1,1,1,1,Javascript,4,4,2,0,0,1,0,0,Appcelerator Titanium
321,Backend Engineer,0,0,1,1,0,1,1,1,0,2,0,2,Javascript,4,3,3,0,0,0,1,0,PhoneGap / Apache Cordova
322,Frontend Engineer,0,0,1,0,0,1,1,1,1,1,1,2,Javascript,4,4,3,0,0,0,1,0,PhoneGap / Apache Cordova
323,iOS Developer,1,0,1,1,0,1,1,1,1,0,0,0,Objective-C,3,3,5,0,1,0,0,0,Objective-C Foundation
324,Backend Engineer,0,0,1,0,0,1,1,1,1,0,1,0,Javascript,4,5,,0,0,0,1,0,
326,,0,0,1,0,0,1,1,1,1,2,1,2,Javascript,5,5,2,0,0,1,1,1,Sencha Touch / jQuery Mobile
327,,1,0,1,1,0,1,1,1,1,1,1,,Javascript,3,3,2,0,0,0,1,0,PhoneGap / Apache Cordova
328,Backend Engineer,0,0,1,0,0,1,1,1,0,2,0,2,Javascript,3,4,1,0,0,0,0,1,Sencha Touch / jQuery Mobile
329,OS X Developer,1,1,0,0,1,0,0,0,0,2,0,2,Objective-C,4,3,4,0,1,0,0,0,Objective-C Foundation
330,Frontend Engineer,1,0,1,0,0,1,1,1,1,1,1,1,Javascript,5,5,4,0,0,0,1,0,PhoneGap / Apache Cordova
333,Backend Engineer,0,0,1,0,0,1,1,1,0,2,0,2,Javascript,4,4,1,1,0,0,0,0,
334,iOS Developer,1,0,1,1,0,1,1,1,0,0,0,0,Objective-C,5,5,4,0,1,0,0,0,Objective-C Foundation
337,Backend Engineer,1,1,1,0,0,1,1,1,1,2,0,2,Javascript,3,2,3,0,1,0,0,0,
343,,1,0,1,1,0,1,1,1,1,0,1,0,Javascript,5,5,3,0,1,0,1,0,Objective-C Foundation
344,Backend Engineer,0,0,1,0,0,1,1,1,0,2,0,2,Javascript,4,3,1,1,0,0,0,0,
345,Backend Engineer,0,0,1,0,0,0,0,1,1,0,1,0,Javascript,5,4,3,0,0,0,1,1,Objective-C Foundation
346,Backend Engineer,0,1,0,0,0,1,0,1,1,1,1,1,Javascript,3,3,1,1,0,0,0,0,PhoneGap / Apache Cordova
347,Frontend Engineer,1,0,1,1,0,1,1,1,0,2,0,1,Javascript,4,3,3,0,1,0,0,0,
348,Frontend Engineer,1,1,1,0,0,1,1,1,1,1,0,2,Javascript,5,5,3,0,0,0,1,0,PhoneGap / Apache Cordova
350,Frontend Engineer,0,0,1,0,0,1,1,1,1,1,1,1,Javascript,5,3,2,0,1,0,0,0,Objective-C Foundation
351,Frontend Engineer,1,1,1,0,0,1,1,1,1,0,1,1,Javascript,4,3,3,0,0,0,1,0,
352,Backend Engineer,0,0,1,0,0,1,0,0,1,1,0,2,Javascript,3,2,2,0,1,0,0,0,
353,,1,0,1,1,0,1,1,1,1,2,1,2,Javascript,5,5,4,0,1,0,1,1,PhoneGap / Apache Cordova
354,Frontend Engineer,0,0,1,0,0,1,1,1,0,2,0,2,Javascript,4,5,2,0,1,0,0,0,
355,iOS Developer,1,0,1,1,0,1,1,1,1,0,1,2,Javascript,3,3,2,0,1,1,0,0,Appcelerator Titanium
356,Frontend Engineer,1,0,1,0,0,1,1,1,1,2,1,2,Javascript,5,3,2,0,0,0,1,1,Sencha Touch / jQuery Mobile
357,Frontend Engineer,0,1,0,0,0,0,0,0,1,2,1,2,Javascript,2,1,1,1,0,0,0,0,
359,iOS Developer,1,1,1,1,1,1,1,1,1,1,1,1,Objective-C,5,3,5,0,1,1,0,1,Objective-C Foundation
362,Frontend Engineer,0,0,1,0,0,1,1,1,1,1,0,2,Javascript,4,3,1,1,0,0,0,0,
365,Frontend Engineer,1,0,1,0,0,1,1,1,1,2,1,1,Javascript,5,5,3,0,0,0,0,0,
367,Frontend Engineer,1,0,1,0,0,1,1,1,1,0,1,0,Javascript,4,4,1,1,0,0,1,0,
368,Backend Engineer,0,0,1,0,0,0,0,1,0,2,0,2,Javascript,3,2,4,1,0,0,0,0,Appcelerator Titanium
370,Frontend Engineer,1,0,1,1,0,1,1,1,0,0,1,0,Objective-C,5,5,5,0,1,0,0,0,Objective-C Foundation
374,Backend Engineer,1,0,1,0,0,1,0,1,1,1,1,2,Javascript,3,3,2,0,1,0,0,0,
375,Frontend Engineer,1,0,1,0,0,1,1,1,0,2,0,2,Javascript,4,3,1,0,0,0,1,0,
376,Backend Engineer,1,0,1,1,0,1,1,1,1,2,1,2,Javascript,5,4,2,0,0,0,1,1,PhoneGap / Apache Cordova
378,Frontend Engineer,1,1,1,0,0,1,1,1,1,1,1,1,Javascript,4,3,1,1,0,0,0,0,
