Id,Prof/Choice,SW/Mobile,SW/Desktop,SW/Web,Tech/iOS,Tech/OSX,Tech/FrontendJS,Tech/NodeJS,Tech/HTML,Nonative/Dev,Nonative/Opinion,Xplat/Dev,Xplat/Opinion,Lang/Pref,Exp/JS,Exp/Node,Exp/iOS,App/Never,App/ObjC,App/Titanium,App/Cordova,App/Frontend,App/Best
70,Frontend Engineer,1,0,1,1,0,1,1,0,1,0,1,0,Javascript,5,5,2,0,1,1,0,0,Appcelerator Titanium
71,Frontend Engineer,0,0,1,0,0,1,0,0,0,2,0,2,Javascript,1,1,1,1,0,0,0,0,PhoneGap / Apache Cordova
72,iOS Developer,1,0,1,0,0,1,0,1,1,1,1,1,Javascript,3,2,3,0,1,0,1,0,Objective-C Foundation
73,iOS Developer,1,0,1,1,0,1,0,0,1,1,1,2,Javascript,4,5,4,0,0,1,1,1,Appcelerator Titanium
74,Frontend Engineer,0,0,1,0,0,1,0,1,0,2,0,2,Javascript,4,3,3,1,0,0,0,0,PhoneGap / Apache Cordova
75,Backend Engineer,0,0,1,0,0,0,0,0,0,2,0,2,Javascript,5,5,2,0,1,0,0,0,Objective-C Foundation
76,Frontend Engineer,0,0,1,0,0,1,1,1,1,2,1,2,Javascript,5,3,2,0,0,0,1,1,PhoneGap / Apache Cordova
77,,0,0,1,0,0,1,0,1,0,2,0,2,Javascript,2,1,1,1,0,0,0,0,
78,Frontend Engineer,0,0,1,0,0,1,1,1,1,1,1,1,Javascript,5,5,2,0,0,0,1,0,
79,Backend Engineer,0,0,1,0,0,1,0,0,0,0,1,2,Javascript,4,5,4,1,0,0,0,0,
80,,0,0,1,0,0,1,0,1,0,1,0,2,Javascript,5,1,1,1,0,0,0,0,
81,,0,1,1,0,0,1,1,1,0,2,0,2,Javascript,4,4,1,1,0,0,0,0,
82,Backend Engineer,1,0,1,0,0,1,1,1,1,2,1,2,Javascript,5,5,3,0,0,0,1,0,PhoneGap / Apache Cordova
84,Frontend Engineer,0,0,1,0,0,1,1,1,0,2,0,2,Javascript,5,4,1,1,0,0,0,0,
85,Frontend Engineer,1,1,1,0,0,1,1,1,0,2,1,1,Javascript,3,4,1,1,0,0,0,0,PhoneGap / Apache Cordova
86,Frontend Engineer,0,1,1,1,1,1,1,1,0,0,0,2,Javascript,5,5,3,1,0,0,0,0,
87,iOS Developer,1,1,0,0,0,0,1,0,1,2,1,2,Javascript,3,3,4,0,0,0,0,0,
88,iOS Developer,1,0,0,1,1,1,1,1,0,0,1,2,Javascript,4,5,5,0,1,0,0,0,Objective-C Foundation
89,Frontend Engineer,1,0,1,1,0,1,1,1,0,2,0,2,Javascript,5,4,1,0,1,0,0,0,Objective-C Foundation
90,Frontend Engineer,0,1,1,0,0,1,1,1,0,2,0,2,Javascript,5,3,1,1,0,0,0,0,Sencha Touch / jQuery Mobile
91,Backend Engineer,0,1,1,0,0,1,1,1,1,2,1,2,Objective-C,4,4,4,0,1,0,0,0,Objective-C Foundation
92,Backend Engineer,1,0,1,0,0,1,1,0,1,1,1,0,Javascript,4,5,2,0,0,0,1,1,
94,Frontend Engineer,0,0,1,0,0,1,1,1,0,2,0,2,Javascript,4,4,1,0,0,0,1,0,
97,Backend Engineer,0,0,1,0,0,1,1,1,1,1,0,1,Javascript,5,2,1,0,0,0,1,1,
98,,0,0,1,0,0,1,1,1,0,2,0,1,Javascript,5,5,2,0,0,0,0,0,
101,iOS Developer,1,0,1,1,0,1,0,1,1,0,0,0,Objective-C,4,2,5,0,1,0,0,1,Objective-C Foundation
102,Frontend Engineer,1,0,1,0,0,1,0,1,0,2,0,2,Javascript,3,3,3,1,0,0,0,0,
103,Backend Engineer,0,0,1,0,0,1,1,1,1,1,1,1,Javascript,5,5,3,0,0,0,1,1,PhoneGap / Apache Cordova
105,Backend Engineer,0,0,1,0,0,0,1,1,0,2,0,1,Javascript,3,3,1,1,0,0,0,0,
106,,0,1,0,1,1,1,1,1,1,0,0,0,Javascript,4,5,4,0,1,0,0,1,Objective-C Foundation
107,Backend Engineer,0,0,1,1,0,1,1,1,1,0,0,0,Javascript,4,4,1,0,1,0,0,0,
108,iOS Developer,1,0,1,1,0,1,1,0,0,0,0,0,Objective-C,,5,5,0,1,0,0,0,Objective-C Foundation
110,iOS Developer,1,0,1,1,0,0,1,1,0,2,0,2,,3,3,3,0,1,0,0,0,Objective-C Foundation
111,Backend Engineer,0,0,1,0,0,1,1,1,1,1,1,1,Javascript,4,3,3,0,0,0,1,0,
112,Frontend Engineer,1,1,1,1,0,1,1,1,1,2,1,2,Javascript,4,4,4,0,0,0,1,1,PhoneGap / Apache Cordova
113,Frontend Engineer,0,1,1,0,0,1,1,0,1,1,1,2,Javascript,4,4,3,0,0,0,1,1,PhoneGap / Apache Cordova
